=== A2C seed=55 steps=300000 device=cpu ===
[A2C s55] step 4096/300000 success=35.0% pdr=27.2% (29s)
[A2C s55] step 8192/300000 success=35.0% pdr=37.5% (39s)
[A2C s55] step 12288/300000 success=35.0% pdr=28.5% (78s)
[A2C s55] step 16384/300000 success=45.0% pdr=33.1% (121s)
[A2C s55] step 20480/300000 success=50.0% pdr=38.0% (162s)
[A2C s55] step 24576/300000 success=50.0% pdr=44.2% (205s)
[A2C s55] step 28672/300000 success=50.0% pdr=31.6% (246s)
[A2C s55] step 32768/300000 success=50.0% pdr=33.6% (290s)
[A2C s55] step 36864/300000 success=50.0% pdr=35.6% (335s)
[A2C s55] step 40960/300000 success=50.0% pdr=34.4% (379s)
[A2C s55] step 45056/300000 success=45.0% pdr=40.0% (423s)
[A2C s55] step 49152/300000 success=50.0% pdr=41.4% (464s)
[A2C s55] step 53248/300000 success=40.0% pdr=42.7% (520s)
[A2C s55] step 57344/300000 success=35.0% pdr=48.9% (583s)
[A2C s55] step 61440/300000 success=35.0% pdr=52.2% (616s)
[A2C s55] step 65536/300000 success=45.0% pdr=46.3% (624s)
[A2C s55] step 69632/300000 success=50.0% pdr=53.0% (635s)
[A2C s55] step 73728/300000 success=50.0% pdr=52.0% (646s)
[A2C s55] step 77824/300000 success=50.0% pdr=54.9% (657s)
[A2C s55] step 81920/300000 success=50.0% pdr=53.9% (668s)
[A2C s55] step 86016/300000 success=50.0% pdr=54.4% (679s)
[A2C s55] step 90112/300000 success=50.0% pdr=54.8% (691s)
[A2C s55] step 94208/300000 success=50.0% pdr=55.2% (703s)
[A2C s55] step 98304/300000 success=50.0% pdr=54.7% (714s)
[A2C s55] step 102400/300000 success=50.0% pdr=50.1% (727s)
[A2C s55] step 106496/300000 success=50.0% pdr=49.8% (739s)
[A2C s55] step 110592/300000 success=45.0% pdr=53.6% (752s)
[A2C s55] step 114688/300000 success=45.0% pdr=53.2% (766s)
[A2C s55] step 118784/300000 success=45.0% pdr=50.8% (779s)
[A2C s55] step 122880/300000 success=40.0% pdr=47.8% (792s)
[A2C s55] step 126976/300000 success=40.0% pdr=50.8% (805s)
[A2C s55] step 131072/300000 success=40.0% pdr=56.8% (819s)
[A2C s55] step 135168/300000 success=35.0% pdr=59.0% (833s)
[A2C s55] step 139264/300000 success=40.0% pdr=57.8% (846s)
[A2C s55] step 143360/300000 success=40.0% pdr=55.7% (858s)
[A2C s55] step 147456/300000 success=50.0% pdr=55.2% (871s)
[A2C s55] step 151552/300000 success=50.0% pdr=55.4% (882s)
[A2C s55] step 155648/300000 success=50.0% pdr=55.1% (896s)
[A2C s55] step 159744/300000 success=50.0% pdr=55.5% (907s)
[A2C s55] step 163840/300000 success=40.0% pdr=54.1% (920s)
[A2C s55] step 167936/300000 success=40.0% pdr=56.2% (931s)
[A2C s55] step 172032/300000 success=40.0% pdr=56.3% (944s)
[A2C s55] step 176128/300000 success=45.0% pdr=54.2% (954s)
[A2C s55] step 180224/300000 success=40.0% pdr=45.0% (968s)
[A2C s55] step 184320/300000 success=45.0% pdr=46.6% (980s)
[A2C s55] step 188416/300000 success=50.0% pdr=50.1% (994s)
[A2C s55] step 192512/300000 success=50.0% pdr=49.1% (1006s)
[A2C s55] step 196608/300000 success=40.0% pdr=48.1% (1018s)
[A2C s55] step 200704/300000 success=35.0% pdr=48.0% (1058s)
[A2C s55] step 204800/300000 success=35.0% pdr=49.6% (1104s)
[A2C s55] step 208896/300000 success=35.0% pdr=49.9% (1149s)
[A2C s55] step 212992/300000 success=40.0% pdr=51.2% (1195s)
[A2C s55] step 217088/300000 success=40.0% pdr=51.7% (1238s)
[A2C s55] step 221184/300000 success=35.0% pdr=54.6% (1285s)
[A2C s55] step 225280/300000 success=35.0% pdr=56.2% (1333s)
[A2C s55] step 229376/300000 success=45.0% pdr=58.5% (1377s)
[A2C s55] step 233472/300000 success=50.0% pdr=56.8% (1392s)
[A2C s55] step 237568/300000 success=50.0% pdr=53.0% (1400s)
[A2C s55] step 241664/300000 success=40.0% pdr=54.0% (1410s)
[A2C s55] step 245760/300000 success=35.0% pdr=56.0% (1429s)
[A2C s55] step 249856/300000 success=40.0% pdr=57.3% (1473s)
[A2C s55] step 253952/300000 success=40.0% pdr=56.9% (1496s)
[A2C s55] step 258048/300000 success=45.0% pdr=57.4% (1504s)
[A2C s55] step 262144/300000 success=45.0% pdr=57.3% (1514s)
[A2C s55] step 266240/300000 success=45.0% pdr=57.0% (1527s)
[A2C s55] step 270336/300000 success=45.0% pdr=57.1% (1541s)
[A2C s55] step 274432/300000 success=35.0% pdr=56.6% (1579s)
[A2C s55] step 278528/300000 success=40.0% pdr=57.7% (1625s)
[A2C s55] step 282624/300000 success=40.0% pdr=58.8% (1671s)
[A2C s55] step 286720/300000 success=50.0% pdr=55.7% (1719s)
[A2C s55] step 290816/300000 success=50.0% pdr=56.2% (1763s)
[A2C s55] step 294912/300000 success=50.0% pdr=57.7% (1807s)
[A2C s55] step 299008/300000 success=40.0% pdr=56.3% (1851s)
FINAL A2C s55: success=32.5%  pdr=56.4%  antijam=98.2%  sinr=3.70dB  energy=0.960
