=== PPO seed=44 steps=300000 device=cpu ===
[PPO s44] step 4096/300000 success=50.0% pdr=30.1% (9s)
[PPO s44] step 8192/300000 success=45.0% pdr=30.3% (23s)
[PPO s44] step 12288/300000 success=45.0% pdr=32.8% (36s)
[PPO s44] step 16384/300000 success=35.0% pdr=15.2% (49s)
[PPO s44] step 20480/300000 success=50.0% pdr=31.3% (61s)
[PPO s44] step 24576/300000 success=50.0% pdr=51.3% (74s)
[PPO s44] step 28672/300000 success=45.0% pdr=50.9% (86s)
[PPO s44] step 32768/300000 success=50.0% pdr=51.0% (107s)
[PPO s44] step 36864/300000 success=50.0% pdr=51.2% (148s)
[PPO s44] step 40960/300000 success=50.0% pdr=54.7% (188s)
[PPO s44] step 45056/300000 success=50.0% pdr=51.5% (227s)
[PPO s44] step 49152/300000 success=55.0% pdr=55.7% (268s)
[PPO s44] step 53248/300000 success=60.0% pdr=57.9% (308s)
[PPO s44] step 57344/300000 success=50.0% pdr=57.9% (350s)
[PPO s44] step 61440/300000 success=50.0% pdr=57.7% (393s)
[PPO s44] step 65536/300000 success=50.0% pdr=58.9% (435s)
[PPO s44] step 69632/300000 success=50.0% pdr=58.6% (475s)
[PPO s44] step 73728/300000 success=45.0% pdr=53.3% (515s)
[PPO s44] step 77824/300000 success=50.0% pdr=51.0% (525s)
[PPO s44] step 81920/300000 success=50.0% pdr=52.6% (563s)
[PPO s44] step 86016/300000 success=35.0% pdr=57.6% (605s)
[PPO s44] step 90112/300000 success=55.0% pdr=59.1% (646s)
[PPO s44] step 94208/300000 success=60.0% pdr=57.0% (688s)
[PPO s44] step 98304/300000 success=45.0% pdr=55.1% (730s)
[PPO s44] step 102400/300000 success=50.0% pdr=55.1% (771s)
[PPO s44] step 106496/300000 success=45.0% pdr=56.7% (813s)
[PPO s44] step 110592/300000 success=45.0% pdr=57.9% (855s)
[PPO s44] step 114688/300000 success=45.0% pdr=59.9% (897s)
[PPO s44] step 118784/300000 success=50.0% pdr=51.3% (939s)
[PPO s44] step 122880/300000 success=50.0% pdr=57.2% (980s)
[PPO s44] step 126976/300000 success=45.0% pdr=56.5% (1021s)
[PPO s44] step 131072/300000 success=40.0% pdr=58.9% (1061s)
[PPO s44] step 135168/300000 success=45.0% pdr=58.2% (1101s)
[PPO s44] step 139264/300000 success=45.0% pdr=59.2% (1141s)
[PPO s44] step 143360/300000 success=55.0% pdr=56.0% (1184s)
[PPO s44] step 147456/300000 success=45.0% pdr=55.1% (1225s)
[PPO s44] step 151552/300000 success=45.0% pdr=57.7% (1265s)
[PPO s44] step 155648/300000 success=45.0% pdr=59.1% (1305s)
[PPO s44] step 159744/300000 success=45.0% pdr=58.3% (1349s)
[PPO s44] step 163840/300000 success=45.0% pdr=57.6% (1391s)
[PPO s44] step 167936/300000 success=45.0% pdr=57.5% (1433s)
[PPO s44] step 172032/300000 success=45.0% pdr=58.8% (1476s)
[PPO s44] step 176128/300000 success=35.0% pdr=57.7% (1518s)
[PPO s44] step 180224/300000 success=35.0% pdr=56.3% (1561s)
[PPO s44] step 184320/300000 success=50.0% pdr=58.2% (1603s)
[PPO s44] step 188416/300000 success=45.0% pdr=58.3% (1646s)
[PPO s44] step 192512/300000 success=50.0% pdr=55.2% (1688s)
[PPO s44] step 196608/300000 success=40.0% pdr=59.2% (1729s)
[PPO s44] step 200704/300000 success=50.0% pdr=57.0% (1772s)
[PPO s44] step 204800/300000 success=35.0% pdr=59.1% (1816s)
[PPO s44] step 208896/300000 success=35.0% pdr=57.9% (1858s)
[PPO s44] step 212992/300000 success=40.0% pdr=59.7% (1900s)
[PPO s44] step 217088/300000 success=45.0% pdr=58.6% (1941s)
[PPO s44] step 221184/300000 success=45.0% pdr=55.4% (1980s)
[PPO s44] step 225280/300000 success=40.0% pdr=57.2% (2023s)
[PPO s44] step 229376/300000 success=45.0% pdr=55.5% (2064s)
[PPO s44] step 233472/300000 success=45.0% pdr=58.6% (2105s)
[PPO s44] step 237568/300000 success=50.0% pdr=57.4% (2124s)
[PPO s44] step 241664/300000 success=35.0% pdr=57.1% (2165s)
[PPO s44] step 245760/300000 success=40.0% pdr=58.0% (2209s)
[PPO s44] step 249856/300000 success=45.0% pdr=59.3% (2252s)
[PPO s44] step 253952/300000 success=40.0% pdr=60.3% (2294s)
[PPO s44] step 258048/300000 success=40.0% pdr=60.1% (2336s)
[PPO s44] step 262144/300000 success=45.0% pdr=58.5% (2379s)
[PPO s44] step 266240/300000 success=40.0% pdr=58.9% (2420s)
[PPO s44] step 270336/300000 success=45.0% pdr=59.0% (2463s)
[PPO s44] step 274432/300000 success=45.0% pdr=55.3% (2505s)
[PPO s44] step 278528/300000 success=40.0% pdr=56.7% (2547s)
[PPO s44] step 282624/300000 success=45.0% pdr=53.3% (2589s)
[PPO s44] step 286720/300000 success=35.0% pdr=54.5% (2631s)
[PPO s44] step 290816/300000 success=45.0% pdr=58.4% (2673s)
[PPO s44] step 294912/300000 success=35.0% pdr=57.7% (2715s)
[PPO s44] step 299008/300000 success=40.0% pdr=58.9% (2757s)
FINAL PPO s44: success=35.0%  pdr=59.2%  antijam=98.3%  sinr=3.95dB  energy=1.156
