=== XM-MADRL seed=22 steps=300000 device=cpu ===
[XM-MADRL s22] step 4608/300000 success=45.0% pdr=21.8% (27s)
[XM-MADRL s22] step 9216/300000 success=45.0% pdr=24.2% (53s)
[XM-MADRL s22] step 13824/300000 success=40.0% pdr=26.4% (80s)
[XM-MADRL s22] step 18432/300000 success=45.0% pdr=36.5% (109s)
[XM-MADRL s22] step 20736/300000 success=40.0% pdr=38.5% (127s)
[XM-MADRL s22] step 25344/300000 success=35.0% pdr=39.0% (159s)
[XM-MADRL s22] step 29952/300000 success=50.0% pdr=38.4% (191s)
[XM-MADRL s22] step 34560/300000 success=50.0% pdr=37.8% (227s)
[XM-MADRL s22] step 36864/300000 success=45.0% pdr=35.9% (245s)
[XM-MADRL s22] step 41472/300000 success=55.0% pdr=32.2% (281s)
[XM-MADRL s22] step 46080/300000 success=45.0% pdr=32.0% (311s)
[XM-MADRL s22] step 50688/300000 success=45.0% pdr=32.1% (343s)
[XM-MADRL s22] step 55296/300000 success=45.0% pdr=32.4% (373s)
[XM-MADRL s22] step 57600/300000 success=45.0% pdr=31.7% (391s)
[XM-MADRL s22] step 62208/300000 success=45.0% pdr=31.4% (424s)
[XM-MADRL s22] step 66816/300000 success=40.0% pdr=28.8% (452s)
[XM-MADRL s22] step 71424/300000 success=40.0% pdr=30.9% (482s)
[XM-MADRL s22] step 73728/300000 success=45.0% pdr=30.5% (498s)
[XM-MADRL s22] step 78336/300000 success=45.0% pdr=28.4% (528s)
[XM-MADRL s22] step 82944/300000 success=45.0% pdr=27.5% (556s)
[XM-MADRL s22] step 87552/300000 success=45.0% pdr=27.6% (592s)
[XM-MADRL s22] step 92160/300000 success=45.0% pdr=28.1% (644s)
[XM-MADRL s22] step 94464/300000 success=45.0% pdr=28.9% (672s)
[XM-MADRL s22] step 99072/300000 success=35.0% pdr=33.5% (725s)
[XM-MADRL s22] step 103680/300000 success=45.0% pdr=34.1% (810s)
[XM-MADRL s22] step 108288/300000 success=45.0% pdr=40.3% (903s)
[XM-MADRL s22] step 110592/300000 success=40.0% pdr=41.4% (935s)
[XM-MADRL s22] step 115200/300000 success=35.0% pdr=43.1% (989s)
[XM-MADRL s22] step 119808/300000 success=35.0% pdr=43.6% (1044s)
[XM-MADRL s22] step 124416/300000 success=35.0% pdr=42.6% (1127s)
[XM-MADRL s22] step 129024/300000 success=40.0% pdr=43.2% (1208s)
[XM-MADRL s22] step 131328/300000 success=40.0% pdr=42.4% (1238s)
[XM-MADRL s22] step 135936/300000 success=40.0% pdr=42.6% (1290s)
[XM-MADRL s22] step 140544/300000 success=40.0% pdr=42.5% (1353s)
[XM-MADRL s22] step 145152/300000 success=40.0% pdr=42.0% (1440s)
[XM-MADRL s22] step 147456/300000 success=40.0% pdr=42.1% (1471s)
[XM-MADRL s22] step 152064/300000 success=40.0% pdr=42.6% (1525s)
[XM-MADRL s22] step 156672/300000 success=40.0% pdr=42.8% (1580s)
[XM-MADRL s22] step 161280/300000 success=40.0% pdr=43.2% (1669s)
[XM-MADRL s22] step 165888/300000 success=45.0% pdr=44.2% (1730s)
[XM-MADRL s22] step 168192/300000 success=40.0% pdr=44.4% (1759s)
[XM-MADRL s22] step 172800/300000 success=40.0% pdr=45.0% (1810s)
[XM-MADRL s22] step 177408/300000 success=45.0% pdr=46.8% (1877s)
[XM-MADRL s22] step 182016/300000 success=40.0% pdr=48.2% (1960s)
[XM-MADRL s22] step 184320/300000 success=40.0% pdr=48.1% (1990s)
[XM-MADRL s22] step 188928/300000 success=35.0% pdr=46.6% (2042s)
[XM-MADRL s22] step 193536/300000 success=40.0% pdr=46.4% (2095s)
[XM-MADRL s22] step 198144/300000 success=40.0% pdr=45.4% (2180s)
[XM-MADRL s22] step 202752/300000 success=40.0% pdr=44.4% (2247s)
[XM-MADRL s22] step 205056/300000 success=45.0% pdr=44.6% (2276s)
[XM-MADRL s22] step 209664/300000 success=40.0% pdr=44.9% (2328s)
[XM-MADRL s22] step 214272/300000 success=55.0% pdr=47.2% (2395s)
[XM-MADRL s22] step 218880/300000 success=45.0% pdr=48.0% (2482s)
[XM-MADRL s22] step 221184/300000 success=45.0% pdr=47.7% (2512s)
[XM-MADRL s22] step 225792/300000 success=45.0% pdr=46.4% (2561s)
[XM-MADRL s22] step 230400/300000 success=45.0% pdr=46.0% (2613s)
[XM-MADRL s22] step 235008/300000 success=45.0% pdr=46.3% (2691s)
[XM-MADRL s22] step 239616/300000 success=45.0% pdr=46.0% (2765s)
[XM-MADRL s22] step 241920/300000 success=45.0% pdr=46.3% (2794s)
[XM-MADRL s22] step 246528/300000 success=45.0% pdr=47.3% (2846s)
[XM-MADRL s22] step 251136/300000 success=35.0% pdr=47.9% (2899s)
[XM-MADRL s22] step 255744/300000 success=30.0% pdr=49.0% (2977s)
[XM-MADRL s22] step 258048/300000 success=45.0% pdr=48.7% (3018s)
[XM-MADRL s22] step 262656/300000 success=50.0% pdr=48.5% (3072s)
[XM-MADRL s22] step 267264/300000 success=50.0% pdr=48.0% (3121s)
[XM-MADRL s22] step 271872/300000 success=45.0% pdr=47.3% (3175s)
[XM-MADRL s22] step 276480/300000 success=40.0% pdr=48.3% (3271s)
[XM-MADRL s22] step 278784/300000 success=30.0% pdr=48.3% (3305s)
[XM-MADRL s22] step 283392/300000 success=45.0% pdr=48.4% (3357s)
[XM-MADRL s22] step 288000/300000 success=35.0% pdr=48.4% (3410s)
[XM-MADRL s22] step 292608/300000 success=50.0% pdr=49.5% (3487s)
[XM-MADRL s22] step 294912/300000 success=55.0% pdr=50.4% (3541s)
[XM-MADRL s22] step 299520/300000 success=55.0% pdr=50.9% (3598s)
FINAL XM-MADRL s22: success=32.5%  pdr=51.5%  antijam=93.6%  sinr=3.23dB  energy=0.785
