=== XM-noGNN seed=55 steps=300000 device=cpu ===
[XM-noGNN s55] step 4608/300000 success=40.0% pdr=4.5% (169s)
[XM-noGNN s55] step 9216/300000 success=35.0% pdr=4.5% (282s)
[XM-noGNN s55] step 13824/300000 success=45.0% pdr=21.7% (392s)
[XM-noGNN s55] step 18432/300000 success=45.0% pdr=14.7% (502s)
[XM-noGNN s55] step 20736/300000 success=40.0% pdr=16.6% (569s)
[XM-noGNN s55] step 25344/300000 success=35.0% pdr=14.6% (682s)
[XM-noGNN s55] step 29952/300000 success=45.0% pdr=7.3% (800s)
[XM-noGNN s55] step 34560/300000 success=50.0% pdr=14.2% (914s)
[XM-noGNN s55] step 36864/300000 success=45.0% pdr=17.8% (980s)
[XM-noGNN s55] step 41472/300000 success=40.0% pdr=10.5% (1090s)
[XM-noGNN s55] step 46080/300000 success=45.0% pdr=4.7% (1197s)
[XM-noGNN s55] step 50688/300000 success=45.0% pdr=4.6% (1300s)
[XM-noGNN s55] step 55296/300000 success=45.0% pdr=4.9% (1409s)
[XM-noGNN s55] step 57600/300000 success=45.0% pdr=4.8% (1477s)
[XM-noGNN s55] step 62208/300000 success=40.0% pdr=5.6% (1589s)
[XM-noGNN s55] step 66816/300000 success=50.0% pdr=4.7% (1699s)
[XM-noGNN s55] step 71424/300000 success=35.0% pdr=17.9% (1813s)
[XM-noGNN s55] step 73728/300000 success=35.0% pdr=20.2% (1878s)
[XM-noGNN s55] step 78336/300000 success=40.0% pdr=11.6% (1990s)
[XM-noGNN s55] step 82944/300000 success=55.0% pdr=18.2% (2099s)
[XM-noGNN s55] step 87552/300000 success=55.0% pdr=31.5% (2201s)
[XM-noGNN s55] step 92160/300000 success=55.0% pdr=22.9% (2308s)
[XM-noGNN s55] step 94464/300000 success=50.0% pdr=14.7% (2371s)
[XM-noGNN s55] step 99072/300000 success=50.0% pdr=10.2% (2474s)
[XM-noGNN s55] step 103680/300000 success=50.0% pdr=30.4% (2585s)
[XM-noGNN s55] step 108288/300000 success=45.0% pdr=24.2% (2691s)
[XM-noGNN s55] step 110592/300000 success=45.0% pdr=32.6% (2750s)
[XM-noGNN s55] step 115200/300000 success=45.0% pdr=41.3% (2859s)
