=== XM-noGNN seed=55 steps=300000 device=cpu ===
[XM-noGNN s55] step 4608/300000 success=35.0% pdr=32.9% (152s)
[XM-noGNN s55] step 9216/300000 success=45.0% pdr=26.0% (326s)
[XM-noGNN s55] step 13824/300000 success=45.0% pdr=14.5% (457s)
[XM-noGNN s55] step 18432/300000 success=40.0% pdr=13.5% (629s)
[XM-noGNN s55] step 20736/300000 success=35.0% pdr=14.7% (703s)
[XM-noGNN s55] step 25344/300000 success=45.0% pdr=17.9% (815s)
[XM-noGNN s55] step 29952/300000 success=40.0% pdr=18.8% (882s)
[XM-noGNN s55] step 34560/300000 success=50.0% pdr=21.6% (933s)
[XM-noGNN s55] step 36864/300000 success=50.0% pdr=27.1% (973s)
[XM-noGNN s55] step 41472/300000 success=50.0% pdr=33.3% (1096s)
[XM-noGNN s55] step 46080/300000 success=50.0% pdr=35.4% (1267s)
[XM-noGNN s55] step 50688/300000 success=45.0% pdr=36.0% (1404s)
[XM-noGNN s55] step 55296/300000 success=50.0% pdr=37.5% (1568s)
[XM-noGNN s55] step 57600/300000 success=55.0% pdr=38.0% (1636s)
[XM-noGNN s55] step 62208/300000 success=45.0% pdr=39.2% (1812s)
[XM-noGNN s55] step 66816/300000 success=45.0% pdr=40.0% (1943s)
[XM-noGNN s55] step 71424/300000 success=45.0% pdr=42.7% (2113s)
[XM-noGNN s55] step 73728/300000 success=45.0% pdr=43.7% (2189s)
[XM-noGNN s55] step 78336/300000 success=50.0% pdr=45.5% (2371s)
[XM-noGNN s55] step 82944/300000 success=60.0% pdr=46.8% (2516s)
[XM-noGNN s55] step 87552/300000 success=55.0% pdr=45.1% (2678s)
[XM-noGNN s55] step 92160/300000 success=50.0% pdr=44.7% (2830s)
[XM-noGNN s55] step 94464/300000 success=50.0% pdr=44.9% (2920s)
[XM-noGNN s55] step 99072/300000 success=45.0% pdr=45.8% (3055s)
[XM-noGNN s55] step 103680/300000 success=50.0% pdr=44.2% (3228s)
[XM-noGNN s55] step 108288/300000 success=50.0% pdr=46.7% (3366s)
[XM-noGNN s55] step 110592/300000 success=40.0% pdr=47.1% (3472s)
[XM-noGNN s55] step 115200/300000 success=40.0% pdr=48.8% (3595s)
[XM-noGNN s55] step 119808/300000 success=35.0% pdr=50.8% (3769s)
[XM-noGNN s55] step 124416/300000 success=35.0% pdr=41.6% (3893s)
[XM-noGNN s55] step 129024/300000 success=35.0% pdr=36.3% (4081s)
[XM-noGNN s55] step 131328/300000 success=35.0% pdr=36.8% (4146s)
[XM-noGNN s55] step 135936/300000 success=45.0% pdr=38.5% (4278s)
[XM-noGNN s55] step 140544/300000 success=45.0% pdr=41.8% (4395s)
[XM-noGNN s55] step 145152/300000 success=45.0% pdr=44.5% (4487s)
[XM-noGNN s55] step 147456/300000 success=40.0% pdr=43.8% (4559s)
[XM-noGNN s55] step 152064/300000 success=35.0% pdr=41.7% (4695s)
[XM-noGNN s55] step 156672/300000 success=45.0% pdr=41.6% (4788s)
[XM-noGNN s55] step 161280/300000 success=45.0% pdr=43.4% (4923s)
[XM-noGNN s55] step 165888/300000 success=45.0% pdr=42.2% (4990s)
[XM-noGNN s55] step 168192/300000 success=45.0% pdr=40.4% (5018s)
[XM-noGNN s55] step 172800/300000 success=45.0% pdr=36.9% (5106s)
[XM-noGNN s55] step 177408/300000 success=45.0% pdr=36.7% (5184s)
[XM-noGNN s55] step 182016/300000 success=45.0% pdr=37.6% (5280s)
[XM-noGNN s55] step 184320/300000 success=45.0% pdr=38.8% (5321s)
[XM-noGNN s55] step 188928/300000 success=45.0% pdr=44.3% (5455s)
