=== XM-noMAML seed=33 steps=300000 device=cpu ===
[XM-noMAML s33] step 4096/300000 success=45.0% pdr=4.6% (204s)
[XM-noMAML s33] step 8192/300000 success=45.0% pdr=26.0% (408s)
[XM-noMAML s33] step 12288/300000 success=35.0% pdr=27.9% (609s)
[XM-noMAML s33] step 16384/300000 success=40.0% pdr=26.2% (811s)
[XM-noMAML s33] step 20480/300000 success=45.0% pdr=16.7% (1016s)
[XM-noMAML s33] step 24576/300000 success=45.0% pdr=18.3% (1216s)
[XM-noMAML s33] step 28672/300000 success=35.0% pdr=19.8% (1414s)
[XM-noMAML s33] step 32768/300000 success=30.0% pdr=17.5% (1602s)
[XM-noMAML s33] step 36864/300000 success=35.0% pdr=16.4% (1792s)
[XM-noMAML s33] step 40960/300000 success=40.0% pdr=20.7% (1992s)
[XM-noMAML s33] step 45056/300000 success=35.0% pdr=30.9% (2193s)
[XM-noMAML s33] step 49152/300000 success=45.0% pdr=17.1% (2396s)
[XM-noMAML s33] step 53248/300000 success=45.0% pdr=21.4% (2594s)
[XM-noMAML s33] step 57344/300000 success=50.0% pdr=31.0% (2795s)
[XM-noMAML s33] step 61440/300000 success=50.0% pdr=15.7% (3000s)
[XM-noMAML s33] step 65536/300000 success=45.0% pdr=24.8% (3199s)
[XM-noMAML s33] step 69632/300000 success=50.0% pdr=34.4% (3394s)
[XM-noMAML s33] step 73728/300000 success=45.0% pdr=31.3% (3652s)
[XM-noMAML s33] step 77824/300000 success=45.0% pdr=21.2% (3856s)
[XM-noMAML s33] step 81920/300000 success=45.0% pdr=41.6% (4054s)
[XM-noMAML s33] step 86016/300000 success=45.0% pdr=41.7% (4250s)
[XM-noMAML s33] step 90112/300000 success=50.0% pdr=18.9% (4450s)
[XM-noMAML s33] step 94208/300000 success=45.0% pdr=30.3% (4653s)
[XM-noMAML s33] step 98304/300000 success=45.0% pdr=38.6% (4853s)
[XM-noMAML s33] step 102400/300000 success=40.0% pdr=37.3% (5050s)
[XM-noMAML s33] step 106496/300000 success=40.0% pdr=34.4% (5245s)
[XM-noMAML s33] step 110592/300000 success=35.0% pdr=39.9% (5444s)
[XM-noMAML s33] step 114688/300000 success=50.0% pdr=43.8% (5645s)
[XM-noMAML s33] step 118784/300000 success=45.0% pdr=43.3% (5840s)
[XM-noMAML s33] step 122880/300000 success=45.0% pdr=44.3% (6030s)
[XM-noMAML s33] step 126976/300000 success=35.0% pdr=45.9% (6218s)
[XM-noMAML s33] step 131072/300000 success=45.0% pdr=37.2% (6412s)
[XM-noMAML s33] step 135168/300000 success=45.0% pdr=23.7% (6607s)
[XM-noMAML s33] step 139264/300000 success=50.0% pdr=38.4% (6802s)
[XM-noMAML s33] step 143360/300000 success=35.0% pdr=21.9% (6996s)
[XM-noMAML s33] step 147456/300000 success=40.0% pdr=34.6% (7180s)
[XM-noMAML s33] step 151552/300000 success=45.0% pdr=38.2% (7409s)
[XM-noMAML s33] step 155648/300000 success=35.0% pdr=42.0% (7618s)
[XM-noMAML s33] step 159744/300000 success=45.0% pdr=46.1% (7792s)
[XM-noMAML s33] step 163840/300000 success=40.0% pdr=44.5% (7972s)
[XM-noMAML s33] step 167936/300000 success=45.0% pdr=43.3% (8153s)
[XM-noMAML s33] step 172032/300000 success=45.0% pdr=45.3% (8336s)
[XM-noMAML s33] step 176128/300000 success=45.0% pdr=46.1% (8509s)
[XM-noMAML s33] step 180224/300000 success=30.0% pdr=40.4% (8677s)
[XM-noMAML s33] step 184320/300000 success=35.0% pdr=45.8% (8856s)
[XM-noMAML s33] step 188416/300000 success=50.0% pdr=47.3% (9035s)
[XM-noMAML s33] step 192512/300000 success=40.0% pdr=46.2% (9215s)
[XM-noMAML s33] step 196608/300000 success=45.0% pdr=30.2% (9393s)
[XM-noMAML s33] step 200704/300000 success=50.0% pdr=33.3% (9560s)
[XM-noMAML s33] step 204800/300000 success=45.0% pdr=42.9% (9734s)
[XM-noMAML s33] step 208896/300000 success=45.0% pdr=44.8% (9906s)
