=== XM-noMAML seed=33 steps=300000 device=cpu ===
[XM-noMAML s33] step 4096/300000 success=50.0% pdr=38.6% (232s)
[XM-noMAML s33] step 8192/300000 success=50.0% pdr=39.7% (483s)
[XM-noMAML s33] step 12288/300000 success=50.0% pdr=28.9% (732s)
[XM-noMAML s33] step 16384/300000 success=55.0% pdr=43.5% (849s)
[XM-noMAML s33] step 20480/300000 success=50.0% pdr=44.9% (1001s)
[XM-noMAML s33] step 24576/300000 success=45.0% pdr=45.4% (1249s)
[XM-noMAML s33] step 28672/300000 success=50.0% pdr=38.7% (1501s)
[XM-noMAML s33] step 32768/300000 success=45.0% pdr=35.5% (1726s)
[XM-noMAML s33] step 36864/300000 success=40.0% pdr=42.3% (1959s)
[XM-noMAML s33] step 40960/300000 success=35.0% pdr=48.1% (2207s)
[XM-noMAML s33] step 45056/300000 success=45.0% pdr=49.4% (2458s)
[XM-noMAML s33] step 49152/300000 success=50.0% pdr=51.7% (2713s)
[XM-noMAML s33] step 53248/300000 success=45.0% pdr=53.1% (2962s)
[XM-noMAML s33] step 57344/300000 success=45.0% pdr=45.3% (3219s)
[XM-noMAML s33] step 61440/300000 success=50.0% pdr=44.0% (3467s)
[XM-noMAML s33] step 65536/300000 success=50.0% pdr=52.3% (3713s)
[XM-noMAML s33] step 69632/300000 success=45.0% pdr=51.2% (3925s)
[XM-noMAML s33] step 73728/300000 success=35.0% pdr=52.0% (4166s)
[XM-noMAML s33] step 77824/300000 success=35.0% pdr=49.7% (4376s)
[XM-noMAML s33] step 81920/300000 success=50.0% pdr=52.0% (4526s)
[XM-noMAML s33] step 86016/300000 success=35.0% pdr=52.0% (4733s)
[XM-noMAML s33] step 90112/300000 success=45.0% pdr=55.8% (4927s)
[XM-noMAML s33] step 94208/300000 success=35.0% pdr=54.2% (5020s)
[XM-noMAML s33] step 98304/300000 success=45.0% pdr=52.8% (5147s)
[XM-noMAML s33] step 102400/300000 success=40.0% pdr=56.2% (5285s)
[XM-noMAML s33] step 106496/300000 success=40.0% pdr=53.0% (5471s)
