=== XM-noTrans seed=44 steps=300000 device=cpu ===
[XM-noTrans s44] step 4608/300000 success=40.0% pdr=4.6% (45s)
[XM-noTrans s44] step 9216/300000 success=50.0% pdr=5.2% (91s)
[XM-noTrans s44] step 13824/300000 success=50.0% pdr=5.4% (136s)
[XM-noTrans s44] step 18432/300000 success=55.0% pdr=4.4% (179s)
[XM-noTrans s44] step 20736/300000 success=55.0% pdr=4.4% (204s)
[XM-noTrans s44] step 25344/300000 success=55.0% pdr=4.4% (248s)
[XM-noTrans s44] step 29952/300000 success=50.0% pdr=4.4% (290s)
[XM-noTrans s44] step 34560/300000 success=50.0% pdr=4.5% (334s)
[XM-noTrans s44] step 36864/300000 success=50.0% pdr=4.5% (360s)
[XM-noTrans s44] step 41472/300000 success=50.0% pdr=5.7% (407s)
[XM-noTrans s44] step 46080/300000 success=50.0% pdr=15.8% (453s)
[XM-noTrans s44] step 50688/300000 success=45.0% pdr=10.7% (496s)
[XM-noTrans s44] step 55296/300000 success=45.0% pdr=4.6% (539s)
[XM-noTrans s44] step 57600/300000 success=45.0% pdr=4.6% (567s)
[XM-noTrans s44] step 62208/300000 success=45.0% pdr=4.6% (614s)
[XM-noTrans s44] step 66816/300000 success=45.0% pdr=4.6% (659s)
[XM-noTrans s44] step 71424/300000 success=50.0% pdr=4.6% (702s)
[XM-noTrans s44] step 73728/300000 success=50.0% pdr=4.6% (730s)
[XM-noTrans s44] step 78336/300000 success=50.0% pdr=5.0% (773s)
[XM-noTrans s44] step 82944/300000 success=50.0% pdr=14.0% (816s)
[XM-noTrans s44] step 87552/300000 success=35.0% pdr=6.9% (861s)
[XM-noTrans s44] step 92160/300000 success=40.0% pdr=4.9% (904s)
[XM-noTrans s44] step 94464/300000 success=45.0% pdr=15.4% (933s)
[XM-noTrans s44] step 99072/300000 success=40.0% pdr=4.6% (977s)
[XM-noTrans s44] step 103680/300000 success=45.0% pdr=4.6% (1022s)
[XM-noTrans s44] step 108288/300000 success=45.0% pdr=4.6% (1066s)
[XM-noTrans s44] step 110592/300000 success=45.0% pdr=4.6% (1092s)
[XM-noTrans s44] step 115200/300000 success=45.0% pdr=4.6% (1134s)
[XM-noTrans s44] step 119808/300000 success=40.0% pdr=4.6% (1178s)
[XM-noTrans s44] step 124416/300000 success=35.0% pdr=4.6% (1222s)
[XM-noTrans s44] step 129024/300000 success=35.0% pdr=4.6% (1266s)
[XM-noTrans s44] step 131328/300000 success=35.0% pdr=17.1% (1294s)
[XM-noTrans s44] step 135936/300000 success=40.0% pdr=16.2% (1336s)
[XM-noTrans s44] step 140544/300000 success=40.0% pdr=6.2% (1380s)
[XM-noTrans s44] step 145152/300000 success=50.0% pdr=7.7% (1425s)
[XM-noTrans s44] step 147456/300000 success=50.0% pdr=4.5% (1453s)
[XM-noTrans s44] step 152064/300000 success=50.0% pdr=4.5% (1496s)
[XM-noTrans s44] step 156672/300000 success=50.0% pdr=4.5% (1541s)
[XM-noTrans s44] step 161280/300000 success=40.0% pdr=4.5% (1586s)
[XM-noTrans s44] step 165888/300000 success=40.0% pdr=4.5% (1632s)
[XM-noTrans s44] step 168192/300000 success=45.0% pdr=4.5% (1660s)
[XM-noTrans s44] step 172800/300000 success=45.0% pdr=4.5% (1707s)
[XM-noTrans s44] step 177408/300000 success=35.0% pdr=4.5% (1754s)
[XM-noTrans s44] step 182016/300000 success=45.0% pdr=4.5% (1802s)
[XM-noTrans s44] step 184320/300000 success=45.0% pdr=4.5% (1829s)
[XM-noTrans s44] step 188928/300000 success=40.0% pdr=4.5% (1876s)
[XM-noTrans s44] step 193536/300000 success=50.0% pdr=4.5% (1942s)
[XM-noTrans s44] step 198144/300000 success=45.0% pdr=4.5% (2033s)
[XM-noTrans s44] step 202752/300000 success=35.0% pdr=4.5% (2087s)
[XM-noTrans s44] step 205056/300000 success=35.0% pdr=4.5% (2113s)
[XM-noTrans s44] step 209664/300000 success=30.0% pdr=4.9% (2157s)
[XM-noTrans s44] step 214272/300000 success=45.0% pdr=4.5% (2201s)
[XM-noTrans s44] step 218880/300000 success=35.0% pdr=4.5% (2246s)
[XM-noTrans s44] step 221184/300000 success=40.0% pdr=4.5% (2273s)
[XM-noTrans s44] step 225792/300000 success=40.0% pdr=14.3% (2319s)
[XM-noTrans s44] step 230400/300000 success=40.0% pdr=4.6% (2365s)
[XM-noTrans s44] step 235008/300000 success=35.0% pdr=4.6% (2411s)
[XM-noTrans s44] step 239616/300000 success=40.0% pdr=4.6% (2457s)
[XM-noTrans s44] step 241920/300000 success=40.0% pdr=4.6% (2485s)
[XM-noTrans s44] step 246528/300000 success=40.0% pdr=20.6% (2533s)
[XM-noTrans s44] step 251136/300000 success=35.0% pdr=5.0% (2583s)
[XM-noTrans s44] step 255744/300000 success=35.0% pdr=4.5% (2629s)
[XM-noTrans s44] step 258048/300000 success=35.0% pdr=5.5% (2657s)
[XM-noTrans s44] step 262656/300000 success=35.0% pdr=15.0% (2700s)
[XM-noTrans s44] step 267264/300000 success=35.0% pdr=4.6% (2749s)
[XM-noTrans s44] step 271872/300000 success=35.0% pdr=4.6% (2796s)
[XM-noTrans s44] step 276480/300000 success=35.0% pdr=4.6% (2845s)
[XM-noTrans s44] step 278784/300000 success=35.0% pdr=4.6% (2872s)
[XM-noTrans s44] step 283392/300000 success=40.0% pdr=8.8% (2921s)
[XM-noTrans s44] step 288000/300000 success=40.0% pdr=17.9% (2998s)
[XM-noTrans s44] step 292608/300000 success=35.0% pdr=4.7% (3068s)
[XM-noTrans s44] step 294912/300000 success=35.0% pdr=12.0% (3095s)
[XM-noTrans s44] step 299520/300000 success=40.0% pdr=4.6% (3142s)
FINAL XM-noTrans s44: success=30.8%  pdr=4.7%  antijam=67.1%  sinr=-2.27dB  energy=0.751
