=== XM-noTrans seed=33 steps=300000 device=cpu ===
[XM-noTrans s33] step 4608/300000 success=50.0% pdr=36.1% (86s)
[XM-noTrans s33] step 9216/300000 success=45.0% pdr=35.2% (140s)
[XM-noTrans s33] step 13824/300000 success=45.0% pdr=41.7% (191s)
[XM-noTrans s33] step 18432/300000 success=45.0% pdr=43.7% (257s)
[XM-noTrans s33] step 20736/300000 success=45.0% pdr=43.2% (326s)
[XM-noTrans s33] step 25344/300000 success=45.0% pdr=42.2% (385s)
[XM-noTrans s33] step 29952/300000 success=60.0% pdr=39.9% (438s)
[XM-noTrans s33] step 34560/300000 success=55.0% pdr=39.4% (489s)
[XM-noTrans s33] step 36864/300000 success=50.0% pdr=39.0% (528s)
[XM-noTrans s33] step 41472/300000 success=55.0% pdr=41.0% (622s)
[XM-noTrans s33] step 46080/300000 success=55.0% pdr=32.4% (675s)
[XM-noTrans s33] step 50688/300000 success=55.0% pdr=29.0% (727s)
[XM-noTrans s33] step 55296/300000 success=55.0% pdr=22.7% (781s)
[XM-noTrans s33] step 57600/300000 success=55.0% pdr=22.7% (795s)
[XM-noTrans s33] step 62208/300000 success=55.0% pdr=22.8% (820s)
[XM-noTrans s33] step 66816/300000 success=55.0% pdr=24.1% (846s)
[XM-noTrans s33] step 71424/300000 success=55.0% pdr=25.2% (868s)
[XM-noTrans s33] step 73728/300000 success=55.0% pdr=26.1% (885s)
[XM-noTrans s33] step 78336/300000 success=60.0% pdr=26.5% (908s)
[XM-noTrans s33] step 82944/300000 success=55.0% pdr=30.4% (931s)
[XM-noTrans s33] step 87552/300000 success=50.0% pdr=33.8% (960s)
[XM-noTrans s33] step 92160/300000 success=45.0% pdr=34.9% (993s)
[XM-noTrans s33] step 94464/300000 success=50.0% pdr=34.2% (1026s)
[XM-noTrans s33] step 99072/300000 success=30.0% pdr=33.2% (1079s)
[XM-noTrans s33] step 103680/300000 success=40.0% pdr=29.7% (1142s)
[XM-noTrans s33] step 108288/300000 success=40.0% pdr=28.4% (1229s)
[XM-noTrans s33] step 110592/300000 success=40.0% pdr=29.1% (1263s)
[XM-noTrans s33] step 115200/300000 success=45.0% pdr=32.1% (1313s)
[XM-noTrans s33] step 119808/300000 success=45.0% pdr=34.5% (1365s)
[XM-noTrans s33] step 124416/300000 success=45.0% pdr=35.7% (1452s)
[XM-noTrans s33] step 129024/300000 success=35.0% pdr=35.6% (1527s)
[XM-noTrans s33] step 131328/300000 success=35.0% pdr=35.2% (1557s)
[XM-noTrans s33] step 135936/300000 success=40.0% pdr=41.4% (1605s)
[XM-noTrans s33] step 140544/300000 success=40.0% pdr=46.6% (1659s)
[XM-noTrans s33] step 145152/300000 success=35.0% pdr=42.8% (1752s)
[XM-noTrans s33] step 147456/300000 success=40.0% pdr=45.1% (1793s)
[XM-noTrans s33] step 152064/300000 success=45.0% pdr=45.7% (1845s)
[XM-noTrans s33] step 156672/300000 success=35.0% pdr=43.1% (1896s)
[XM-noTrans s33] step 161280/300000 success=40.0% pdr=42.2% (1965s)
[XM-noTrans s33] step 165888/300000 success=60.0% pdr=41.1% (2051s)
[XM-noTrans s33] step 168192/300000 success=60.0% pdr=40.8% (2085s)
[XM-noTrans s33] step 172800/300000 success=55.0% pdr=39.7% (2138s)
[XM-noTrans s33] step 177408/300000 success=55.0% pdr=36.4% (2195s)
[XM-noTrans s33] step 182016/300000 success=55.0% pdr=36.1% (2294s)
[XM-noTrans s33] step 184320/300000 success=50.0% pdr=36.1% (2336s)
[XM-noTrans s33] step 188928/300000 success=45.0% pdr=37.2% (2390s)
[XM-noTrans s33] step 193536/300000 success=45.0% pdr=38.2% (2441s)
[XM-noTrans s33] step 198144/300000 success=45.0% pdr=36.9% (2506s)
[XM-noTrans s33] step 202752/300000 success=40.0% pdr=37.0% (2601s)
[XM-noTrans s33] step 205056/300000 success=45.0% pdr=37.8% (2635s)
[XM-noTrans s33] step 209664/300000 success=45.0% pdr=38.7% (2686s)
[XM-noTrans s33] step 214272/300000 success=40.0% pdr=39.0% (2735s)
[XM-noTrans s33] step 218880/300000 success=45.0% pdr=38.2% (2808s)
[XM-noTrans s33] step 221184/300000 success=45.0% pdr=38.0% (2864s)
[XM-noTrans s33] step 225792/300000 success=45.0% pdr=37.9% (2923s)
[XM-noTrans s33] step 230400/300000 success=50.0% pdr=37.2% (2977s)
[XM-noTrans s33] step 235008/300000 success=50.0% pdr=35.6% (3030s)
[XM-noTrans s33] step 239616/300000 success=50.0% pdr=37.8% (3113s)
[XM-noTrans s33] step 241920/300000 success=40.0% pdr=39.0% (3167s)
[XM-noTrans s33] step 246528/300000 success=35.0% pdr=37.7% (3222s)
[XM-noTrans s33] step 251136/300000 success=40.0% pdr=36.9% (3275s)
[XM-noTrans s33] step 255744/300000 success=45.0% pdr=37.7% (3324s)
[XM-noTrans s33] step 258048/300000 success=50.0% pdr=38.8% (3371s)
[XM-noTrans s33] step 262656/300000 success=50.0% pdr=39.1% (3458s)
[XM-noTrans s33] step 267264/300000 success=50.0% pdr=40.6% (3508s)
[XM-noTrans s33] step 271872/300000 success=50.0% pdr=41.8% (3561s)
[XM-noTrans s33] step 276480/300000 success=50.0% pdr=42.5% (3621s)
[XM-noTrans s33] step 278784/300000 success=50.0% pdr=42.6% (3679s)
[XM-noTrans s33] step 283392/300000 success=50.0% pdr=41.7% (3747s)
[XM-noTrans s33] step 288000/300000 success=50.0% pdr=41.6% (3796s)
[XM-noTrans s33] step 292608/300000 success=50.0% pdr=42.4% (3847s)
[XM-noTrans s33] step 294912/300000 success=50.0% pdr=43.1% (3881s)
[XM-noTrans s33] step 299520/300000 success=45.0% pdr=41.2% (3955s)
FINAL XM-noTrans s33: success=30.8%  pdr=41.3%  antijam=96.2%  sinr=2.28dB  energy=0.575
