=== PPO seed=11 steps=300000 device=cpu ===
[PPO s11] step 4096/300000 success=65.0% pdr=12.8% (7s)
[PPO s11] step 8192/300000 success=75.0% pdr=21.7% (14s)
[PPO s11] step 12288/300000 success=65.0% pdr=18.0% (22s)
[PPO s11] step 16384/300000 success=65.0% pdr=27.6% (28s)
[PPO s11] step 20480/300000 success=60.0% pdr=23.8% (35s)
[PPO s11] step 24576/300000 success=45.0% pdr=26.7% (42s)
[PPO s11] step 28672/300000 success=70.0% pdr=27.2% (50s)
[PPO s11] step 32768/300000 success=55.0% pdr=28.2% (57s)
[PPO s11] step 36864/300000 success=55.0% pdr=27.9% (64s)
[PPO s11] step 40960/300000 success=45.0% pdr=25.9% (71s)
[PPO s11] step 45056/300000 success=50.0% pdr=26.9% (78s)
[PPO s11] step 49152/300000 success=50.0% pdr=27.5% (85s)
[PPO s11] step 53248/300000 success=55.0% pdr=28.1% (92s)
[PPO s11] step 57344/300000 success=50.0% pdr=28.5% (119s)
[PPO s11] step 61440/300000 success=50.0% pdr=28.1% (150s)
[PPO s11] step 65536/300000 success=55.0% pdr=28.4% (181s)
[PPO s11] step 69632/300000 success=50.0% pdr=28.2% (211s)
[PPO s11] step 73728/300000 success=55.0% pdr=27.8% (241s)
[PPO s11] step 77824/300000 success=55.0% pdr=28.3% (272s)
[PPO s11] step 81920/300000 success=55.0% pdr=28.3% (303s)
[PPO s11] step 86016/300000 success=50.0% pdr=28.2% (333s)
[PPO s11] step 90112/300000 success=50.0% pdr=28.4% (364s)
[PPO s11] step 94208/300000 success=55.0% pdr=28.2% (394s)
[PPO s11] step 98304/300000 success=50.0% pdr=28.5% (424s)
[PPO s11] step 102400/300000 success=55.0% pdr=28.3% (455s)
[PPO s11] step 106496/300000 success=50.0% pdr=28.4% (486s)
[PPO s11] step 110592/300000 success=50.0% pdr=28.2% (517s)
[PPO s11] step 114688/300000 success=50.0% pdr=28.3% (547s)
[PPO s11] step 118784/300000 success=50.0% pdr=28.2% (565s)
[PPO s11] step 122880/300000 success=50.0% pdr=27.9% (573s)
[PPO s11] step 126976/300000 success=60.0% pdr=28.2% (588s)
[PPO s11] step 131072/300000 success=55.0% pdr=28.5% (613s)
[PPO s11] step 135168/300000 success=55.0% pdr=28.5% (620s)
[PPO s11] step 139264/300000 success=55.0% pdr=28.0% (627s)
[PPO s11] step 143360/300000 success=50.0% pdr=28.2% (633s)
[PPO s11] step 147456/300000 success=55.0% pdr=28.0% (640s)
[PPO s11] step 151552/300000 success=45.0% pdr=28.4% (647s)
[PPO s11] step 155648/300000 success=45.0% pdr=28.1% (653s)
[PPO s11] step 159744/300000 success=50.0% pdr=28.5% (660s)
[PPO s11] step 163840/300000 success=45.0% pdr=28.4% (667s)
[PPO s11] step 167936/300000 success=60.0% pdr=28.5% (674s)
[PPO s11] step 172032/300000 success=55.0% pdr=28.5% (681s)
[PPO s11] step 176128/300000 success=50.0% pdr=28.4% (687s)
[PPO s11] step 180224/300000 success=55.0% pdr=28.4% (694s)
[PPO s11] step 184320/300000 success=50.0% pdr=28.0% (701s)
[PPO s11] step 188416/300000 success=60.0% pdr=28.2% (708s)
[PPO s11] step 192512/300000 success=70.0% pdr=27.9% (715s)
[PPO s11] step 196608/300000 success=65.0% pdr=28.0% (722s)
[PPO s11] step 200704/300000 success=45.0% pdr=27.9% (728s)
[PPO s11] step 204800/300000 success=50.0% pdr=27.8% (735s)
[PPO s11] step 208896/300000 success=50.0% pdr=27.4% (742s)
[PPO s11] step 212992/300000 success=50.0% pdr=28.6% (749s)
[PPO s11] step 217088/300000 success=55.0% pdr=28.3% (756s)
[PPO s11] step 221184/300000 success=60.0% pdr=28.2% (764s)
[PPO s11] step 225280/300000 success=50.0% pdr=28.6% (771s)
[PPO s11] step 229376/300000 success=70.0% pdr=28.1% (779s)
[PPO s11] step 233472/300000 success=55.0% pdr=28.6% (802s)
[PPO s11] step 237568/300000 success=50.0% pdr=28.6% (834s)
[PPO s11] step 241664/300000 success=65.0% pdr=27.9% (864s)
[PPO s11] step 245760/300000 success=45.0% pdr=27.8% (895s)
[PPO s11] step 249856/300000 success=70.0% pdr=27.9% (925s)
[PPO s11] step 253952/300000 success=65.0% pdr=28.7% (956s)
[PPO s11] step 258048/300000 success=45.0% pdr=28.0% (987s)
[PPO s11] step 262144/300000 success=50.0% pdr=28.2% (1006s)
[PPO s11] step 266240/300000 success=55.0% pdr=28.4% (1024s)
[PPO s11] step 270336/300000 success=50.0% pdr=28.2% (1053s)
[PPO s11] step 274432/300000 success=45.0% pdr=28.4% (1082s)
[PPO s11] step 278528/300000 success=45.0% pdr=28.5% (1112s)
[PPO s11] step 282624/300000 success=75.0% pdr=28.5% (1142s)
[PPO s11] step 286720/300000 success=55.0% pdr=28.8% (1152s)
[PPO s11] step 290816/300000 success=55.0% pdr=28.7% (1159s)
[PPO s11] step 294912/300000 success=65.0% pdr=28.4% (1166s)
[PPO s11] step 299008/300000 success=45.0% pdr=28.9% (1173s)
FINAL PPO s11: success=55.8%  pdr=27.9%  antijam=98.3%  sinr=0.76dB  energy=1.773
